"","V1"
"1",0.575
"2",0.985
"3",0.2
"4",0.94
"5",0.72
"6",0.005
"7",0.89
"8",0.415
"9",0.94
"10",0.51
"11",0.78
"12",0.92
"13",0.805
"14",0.705
"15",0.56
"16",0.19
"17",0.255
"18",0.68
"19",0.01
"20",1
"21",0.995
"22",0.545
"23",0
"24",0.445
"25",0.845
"26",0.205
"27",0.995
"28",0.53
"29",0.28
"30",0.96
"31",0.025
"32",0.95
"33",0.605
"34",0.99
"35",0.03
"36",0.985
"37",0.015
"38",0.98
"39",0.885
"40",0.9
"41",0.98
"42",0.755
"43",0.035
"44",0.455
"45",0.15
"46",0.95
"47",0.645
"48",0.08
"49",0.355
"50",0.865
"51",0.845
"52",0.88
"53",1
"54",0.405
"55",0.985
"56",0.015
"57",1
"58",0.42
"59",0.965
"60",0.99
"61",0.995
"62",0
"63",0.77
"64",0.54
"65",0.975
"66",0.035
"67",0.675
"68",0.29
"69",0.995
"70",0.85
"71",0.01
"72",1
"73",0.925
"74",0
"75",0.105
"76",0.915
"77",0.88
"78",0.92
"79",0.66
"80",0.99
"81",0.325
"82",0.11
"83",0.89
"84",0.37
"85",0.21
"86",0.995
"87",0.465
"88",1
"89",0.01
"90",0.815
"91",0.935
"92",0.98
"93",0.91
"94",0.89
"95",0.21
"96",0.93
"97",0.105
"98",0.22
"99",0.96
"100",0.04
"101",0.94
"102",1
"103",0.035
"104",0.39
"105",0.92
"106",0.715
"107",0.15
"108",0.1
"109",0.4
"110",0.995
"111",1
"112",0.875
"113",0.99
"114",0.105
"115",0.36
"116",0.87
"117",0.045
"118",0.91
"119",1
"120",0.275
"121",0.71
"122",1
"123",1
"124",0.305
"125",1
"126",0.84
"127",1
"128",1
"129",0.405
"130",0.76
"131",1
"132",0.985
"133",0.02
"134",0.02
"135",0.225
"136",0.98
"137",0.825
"138",0.875
"139",0.24
"140",0.845
"141",1
"142",0.335
"143",0.145
"144",0.16
"145",0.285
"146",1
"147",0.135
"148",0.32
"149",0.23
"150",0.075
"151",0.405
"152",0.855
"153",0.14
"154",0.96
"155",0.43
"156",0.935
"157",1
"158",0.54
"159",0.045
"160",0.94
"161",1
"162",1
"163",0.5
"164",0.13
"165",0.905
"166",0.74
"167",0.605
"168",0.655
"169",0.89
"170",1
"171",0.905
"172",1
"173",0.98
"174",0.975
"175",0.46
"176",0.065
"177",0.385
"178",0.18
"179",0.47
"180",0.92
"181",0.23
"182",0.18
"183",0.58
"184",1
"185",1
"186",1
"187",0.035
"188",0.575
"189",0.23
"190",0.83
"191",0.94
"192",0.47
"193",0.98
"194",0.275
"195",0.27
"196",0.865
"197",0.37
"198",0.575
"199",0.145
"200",0.805
"201",0.3
"202",0.03
"203",0.305
"204",0.975
"205",0.18
"206",0
"207",0.49
"208",1
"209",0.975
"210",0
"211",0.97
"212",0.05
"213",0.91
"214",0.255
"215",0.1
"216",0.02
"217",0.83
"218",1
"219",0.955
"220",0.015
"221",0.98
"222",0.92
"223",0.825
"224",0.19
"225",0.175
"226",0
"227",0.775
"228",0.875
"229",0.545
"230",0.915
"231",1
"232",0.9
"233",0.165
"234",0.33
"235",0.995
"236",1
"237",0.43
"238",0.87
"239",0.785
"240",1
"241",0.935
"242",0.97
"243",1
"244",0.4
"245",0.645
"246",0.945
"247",0.485
"248",0.195
"249",0.09
"250",0.84
"251",0.845
"252",0.8
"253",1
"254",0.975
"255",0.995
"256",0.985
"257",0.925
"258",1
"259",0.335
"260",0.685
"261",0.95
"262",0.06
"263",0
"264",0.86
"265",0.725
"266",1
"267",1
"268",0.045
"269",0.08
"270",0.715
"271",0.98
"272",0.455
"273",0.45
"274",0.69
"275",0.265
"276",1
"277",1
"278",0.3
"279",0.99
"280",0.98
"281",0.99
"282",0.99
"283",0.4
"284",1
"285",0.505
"286",0.895
"287",0.445
"288",0.98
"289",1
"290",1
"291",0.83
"292",0.995
"293",0.94
"294",0.55
"295",0.065
"296",0.225
"297",0.015
"298",0.015
"299",0.875
"300",0.625
