"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",0.03,0.07,0,0.03,0,0,0,0,0.14,0,0.01,0,0
"2",0.88,0.4,0.22,0,0.01,0,0.01,0,0,0,0,0,0
"3",0.82,0,0,0,0,0,0.02,0,0,0,0,0,0
"4",0.1,0,0.16,0,0,0,0,0,0,0,0,0,0
"5",0.31,0.08,0,0,0.16,0,0,0,0,0,0,0,0
"6",0.24,0.37,0.14,0.1,0,0,0,0,0,0,0,0,0
"7",0.38,0.01,0.26,0.09,0,0,0,0,0,0,0,0,0
"8",0.95,0,0,0,0,0,0,0,0,0,0,0,0
"9",0.34,0.03,0,0,0,0,0,0,0,0,0,0,0
"10",0.03,0.08,0,0.02,0,0,0,0,0,0,0,0,0
"11",0.43,0.23,0,0,0.03,0,0.01,0,0,0,0,0,0
"12",0.76,0.55,0.02,0,0,0,0,0,0,0,0,0,0
"13",0.91,0,0.1,0,0,0,0,0,0,0,0,0,0
"14",0.63,0,0,0,0,0,0,0,0,0,0,0,0
"15",0.81,0.03,0.2,0,0,0,0,0,0,0,0,0,0
"16",0.07,0.11,0.08,0.83,0,0,0,0.04,0,0,0,0,0
"17",0.98,0,0.05,0,0,0,0,0,0,0,0,0,0
"18",0.56,0.01,0.92,0,0,0,0,0,0,0,0,0,0
"19",0.23,0.26,0.04,0.25,0,0,0,0,0,0,0,0,0
"20",0.26,0,0.56,0.03,0,0,0,0,0,0,0,0,0
"21",0.76,0,0,0,0,0,0.01,0,0,0,0,0,0
"22",0.62,0.03,0.01,0,0,0,0,0,0,0,0,0,0
"23",0.33,0.28,0.13,0.05,0,0,0,0,0,0,0,0,0
"24",0.49,0.06,0.27,0.01,0.03,0,0,0,0,0,0,0,0
"25",0.48,0,0,0.08,0,0,0,0,0,0,0,0,0
"26",0.15,0,0.01,0.06,0,0,0,0,0,0,0,0,0
"27",0.89,0.47,0,0.07,0,0,0,0.06,0,0,0,0,0
"28",0.01,0.02,0.27,0,0,0,0,0,0,0,0,0,0
"29",0.95,0.7,0.26,0,0.03,0,0,0,0,0,0,0,0
"30",0.07,0.91,0,0.03,0,0,0,0,0,0,0,0,0
"31",0.79,0.13,0,0.07,0,0.12,0.02,0,0,0,0.02,0,0
"32",0.76,0.26,0,0,0,0,0,0,0,0,0,0,0
"33",0.71,0.1,0,0,0.09,0,0,0.01,0,0,0,0,0
"34",0.11,0.02,0,0,0.04,0,0,0,0,0,0,0,0
"35",0.42,0.07,0.29,0.59,0,0,0.01,0,0,0,0,0,0
"36",0.82,0.25,0,0,0.01,0,0,0,0,0,0,0,0
"37",0.7,0.19,0.15,0.01,0,0,0,0,0,0,0,0,0
"38",0.52,0.23,0,0,0.04,0,0,0,0,0,0,0,0
"39",0.17,0.03,0.11,0.01,0,0,0,0,0,0,0,0,0
"40",0.73,0,0,0,0,0.01,0,0,0,0,0,0,0
"41",0.49,0.08,0,0,0,0,0,0,0,0,0,0,0
"42",0.91,0.28,0.01,0.18,0,0,0.03,0,0,0,0,0,0
"43",0.22,0.19,0.03,0,0,0.01,0,0,0,0,0,0,0
"44",0.17,0.01,0.05,0.01,0,0,0,0,0,0,0,0,0
"45",0,0,0,0,0.03,0,0,0,0,0,0,0,0
"46",0.99,0.31,0.01,0,0.01,0,0,0,0,0,0,0,0
"47",0.9,0.09,0.05,0,0,0,0,0,0,0,0,0,0
"48",0.59,0.01,0.83,0,0,0,0,0,0.01,0,0,0,0
"49",0.64,0.08,0.01,0.03,0,0,0,0,0,0,0,0,0
"50",0.09,0.07,0.02,0,0,0,0,0.04,0,0,0,0,0
"51",0.12,0.13,0,0,0,0,0,0,0,0,0,0,0
"52",0.27,0.13,0.01,0,0.01,0,0,0,0,0,0,0,0
"53",0.18,0.22,0.14,0.01,0.04,0,0,0,0,0,0,0,0
"54",0.86,0.47,0.13,0,0.01,0,0.03,0,0,0,0,0,0
"55",0.15,0.04,0,0,0.01,0,0,0,0,0,0,0,0
"56",0.51,0.15,0.01,0,0.05,0,0,0,0,0,0,0,0
"57",0,0,0.04,0,0,0,0,0,0.05,0,0,0,0
"58",0.33,0.01,0.06,0.07,0,0,0,0,0.01,0,0,0,0
"59",0.78,0.01,0.02,0.06,0.01,0,0.01,0,0,0,0,0,0
"60",0.08,0.07,0,0.16,0,0.02,0,0,0,0,0,0,0
"61",0.19,0.66,0.17,0,0,0,0,0,0,0,0,0,0
"62",0.23,0,0,0.01,0.03,0,0,0,0,0,0,0,0
"63",0.03,0.63,0,0.01,0.08,0.03,0,0.02,0,0,0,0,0
"64",0.24,0.03,0,0,0,0,0,0,0,0,0,0,0
"65",0.12,0.01,0.55,0.05,0,0.04,0,0,0,0,0.01,0,0
"66",0.47,0,0.15,0.01,0,0.02,0.02,0,0,0,0,0,0.02
"67",0.02,0.11,0,0,0,0,0,0,0.09,0,0,0,0
"68",0.6,0.17,0.03,0,0,0,0,0,0,0,0,0,0
"69",0.45,0.52,0,0.11,0.02,0,0,0,0,0,0,0,0
"70",0.52,0.13,0.04,0,0,0,0,0,0,0,0,0,0
"71",0.52,0.12,0.07,0,0,0.03,0,0,0,0,0,0,0
"72",0.33,0.13,0.01,0.01,0,0,0,0,0,0,0.01,0,0
"73",0.74,0.5,0.04,0.14,0.01,0,0,0.01,0,0,0,0,0
"74",0,0.02,0,0,0.12,0,0,0,0,0,0,0,0
"75",0.19,0.03,0,0.14,0,0,0,0,0,0.01,0,0,0
"76",0.02,0.45,0.04,0,0,0,0,0.01,0,0,0,0,0
"77",0.64,0.69,0,0,0,0.01,0,0,0,0,0,0,0.01
"78",0.74,0.65,0,0.02,0,0,0,0,0,0,0,0,0
"79",0.24,0.19,0,0,0,0,0,0,0,0,0,0,0
"80",1,0.17,0,0.14,0,0,0.02,0,0,0,0,0,0
"81",0.11,0.07,0.18,0,0.01,0,0,0,0,0,0,0,0
"82",0.02,0,0.02,0.05,0,0,0,0,0,0,0,0,0
"83",0.12,0.34,0,0,0,0,0,0,0,0,0,0,0
"84",0.4,0.01,0,0.03,0.01,0,0,0,0,0,0,0,0
"85",0.95,0.98,0.17,0.07,0.02,0,0.06,0,0,0,0,0,0
"86",0.16,0.03,0,0,0,0,0,0,0.01,0,0,0,0
"87",0.06,0.04,0,0.06,0,0,0,0,0,0,0,0,0
"88",0.17,0,0,0.01,0,0,0,0,0,0,0,0,0
"89",0.89,0.37,0,0,0.05,0,0,0,0,0,0,0,0
"90",1,0.01,0,0.02,0.01,0,0,0,0,0,0,0,0
"91",0.18,0.01,0,0.02,0.01,0.01,0,0,0,0,0,0,0
"92",0.1,0.44,0.01,0.01,0.01,0.05,0,0,0,0,0,0,0
"93",0.78,0.13,0,0.09,0,0,0,0,0,0,0,0,0
"94",0.97,0.02,0.02,0,0,0,0,0,0,0,0,0,0
"95",0.08,0.12,0,0.07,0,0.08,0,0,0,0,0,0,0
"96",0.42,0,0,0.03,0,0,0,0,0,0,0,0,0
"97",0.61,0.45,0,0,0,0.01,0,0,0,0,0,0,0
"98",0.49,0.4,0.5,0.08,0.17,0.01,0,0,0,0,0,0,0
"99",0.6,0,0.07,0.01,0.03,0,0,0.05,0,0,0,0,0
"100",0.16,0.02,0.02,0,0,0.01,0,0,0,0,0,0,0
"101",0,0.09,0,0,0,0,0,0,0,0,0,0,0
"102",0.68,0.04,0,0,0,0.01,0,0,0,0,0,0,0
"103",0.67,0,0.11,0,0,0,0,0,0,0,0,0,0
"104",0.6,0,0,0,0,0.01,0,0,0,0,0.01,0,0
"105",0.35,0.08,0,0,0,0,0,0,0,0,0,0,0
"106",0.09,0.03,0.05,0,0,0,0,0,0,0,0.02,0,0
"107",0.99,0.01,0,0,0,0,0,0,0,0,0,0,0
"108",0.58,0.08,0,0,0,0,0,0,0,0,0,0,0
"109",0.07,0,0,0.2,0.08,0,0,0,0,0,0,0,0
"110",0.55,0.09,0,0,0,0,0,0,0,0,0,0,0
"111",0.66,0.95,0.83,0.36,0.04,0,0.1,0,0,0,0,0,0.01
"112",0.05,0.42,0.11,0,0.06,0,0,0,0,0,0,0,0.01
"113",0.38,0.47,0,0.14,0,0,0,0,0,0,0,0,0
"114",0.15,0.01,0.02,0.02,0.08,0,0,0,0,0,0,0,0
"115",0,0.01,0.16,0.28,0,0,0,0,0,0,0,0,0
"116",0.33,0.8,0,0,0.02,0,0,0,0,0,0,0,0
"117",0.38,0,0,0,0,0.02,0,0,0,0,0,0,0
"118",0.84,0.09,0.01,0,0.05,0,0,0,0,0,0,0,0
"119",0.44,0,0,0,0,0,0,0,0,0,0,0,0
"120",0.05,0,0,0.16,0.01,0,0,0,0,0,0.02,0,0
"121",0.29,0.01,0.68,0,0,0,0,0,0,0,0.01,0,0
"122",0,0,0.01,0.02,0,0,0,0,0,0,0,0,0
"123",0,0.05,0,0.13,0,0,0,0,0.01,0,0,0,0
"124",0.97,0.51,0,0.01,0,0,0,0,0,0,0,0,0
"125",0.6,0.01,0.12,0.03,0,0,0,0,0,0,0,0,0
"126",0.78,0.29,0,0,0,0,0,0,0,0,0,0,0
"127",0.35,0.05,0,0.02,0,0,0,0,0,0,0,0,0
"128",0.7,0.01,0,0,0,0,0,0,0,0,0,0,0
"129",0.43,0,0.02,0.02,0.01,0,0,0,0,0.02,0,0,0
"130",0,0.19,0,0,0.02,0,0,0,0,0,0,0,0
"131",0,0.15,0.04,0.01,0,0.09,0,0.08,0,0.01,0,0,0
"132",0.01,0.09,0,0,0,0,0,0,0,0,0,0,0
"133",0.41,0.04,0,0.02,0,0,0.02,0,0,0,0,0,0
"134",0.92,0.03,0,0,0,0,0,0,0.05,0,0,0,0
"135",0.31,0.01,0,0,0,0,0,0,0,0,0,0,0
"136",0.05,0.02,0.19,0,0,0.02,0,0,0,0.02,0,0,0
"137",0.18,0.03,0,0,0.02,0,0,0,0,0,0,0,0
"138",0.3,0.02,0.41,0.03,0,0,0,0,0,0,0,0,0
"139",0.48,0.04,0.1,0.06,0,0,0,0,0,0,0,0,0
"140",0.89,0.38,0,0,0,0,0,0,0,0,0,0,0
"141",0.16,0.01,0,0.04,0.01,0,0,0.56,0,0,0,0,0
"142",0.76,0.08,0.01,0.01,0.49,0,0,0,0,0,0,0,0
"143",0.09,0.36,0.02,0.01,0,0,0,0,0,0,0,0,0
"144",0.48,0.61,0,0,0,0.01,0,0,0,0,0.01,0,0
"145",0.96,0.01,0,0,0,0,0,0,0,0,0,0,0
"146",0.35,0.22,0.03,0,0.03,0,0.01,0,0,0,0,0,0
"147",0.69,0.02,0.01,0,0,0.23,0,0,0.04,0,0,0,0
"148",0.05,0,0.57,0.22,0,0,0,0,0,0,0,0,0
"149",0.16,0,0,0,0.01,0,0,0,0.01,0,0,0,0
"150",0,0.16,0,0.14,0,0,0,0,0,0,0,0,0
"151",0.24,0.04,0.13,0,0,0,0,0,0,0,0,0,0
"152",0.25,0.76,0.05,0,0,0,0,0,0,0,0,0,0
"153",0.06,0.02,0.02,0,0,0.21,0,0,0.02,0,0,0,0
"154",0.31,0,0.21,0.05,0,0,0,0,0,0,0,0,0
"155",0.31,0.09,0.32,0.04,0,0,0,0.01,0,0,0,0,0
"156",0.64,0.11,0.01,0,0,0,0,0,0,0,0,0.14,0
"157",0,0,0,0,0.02,0,0,0,0,0.02,0,0,0
"158",0.84,0.52,0,0.07,0,0,0,0,0,0,0,0,0
"159",0.21,0.15,0.02,0,0,0,0.02,0,0,0,0,0,0
"160",0.09,0.75,0.02,0.01,0.01,0.01,0,0,0,0,0,0,0
"161",0.94,0,0.06,0.01,0,0,0,0,0,0,0,0,0
"162",0.39,0.06,0,0.01,0.19,0,0,0,0,0,0,0,0
"163",0.83,0.45,0.07,0,0,0,0,0,0,0,0,0,0
"164",0.44,0,0.01,0,0,0,0,0,0,0,0,0,0
"165",0.81,0.01,0,0,0,0,0,0,0,0,0,0.01,0
"166",0.04,0.45,0.01,0.48,0.13,0,0,0,0,0,0,0,0
"167",0.21,0.36,0,0,0,0.03,0,0,0,0,0,0,0
"168",0.73,0.26,0,0,0,0,0.02,0,0,0,0,0.09,0
"169",0.66,0.05,0.82,0.06,0.11,0,0,0.02,0,0,0,0,0
"170",0.24,0.37,0.01,0.01,0,0,0,0,0,0,0.03,0,0
"171",0.64,0,0.57,0.02,0,0,0,0,0,0,0,0,0
"172",0.07,0.03,0.07,0,0,0,0,0,0,0,0,0,0
"173",0.92,0,0.43,0.09,0,0,0,0,0,0,0,0,0
"174",0.47,0.31,0,0,0,0,0,0,0,0,0,0,0
"175",0.19,0.01,0.22,0,0.06,0,0,0,0,0,0,0,0
"176",0.85,0.11,0,0.01,0.05,0.02,0,0,0,0,0,0,0
"177",0.99,0.11,0,0.01,0.03,0,0,0,0,0,0,0,0
"178",0.79,0.07,0.07,0,0,0,0,0,0,0,0,0,0
"179",0.18,0.1,0,0,0,0,0,0,0,0,0,0,0
"180",0.75,0.34,0.08,0.07,0,0.02,0,0,0,0,0,0,0
"181",0.13,0.01,0,0,0.01,0,0,0,0,0,0,0,0
"182",0.84,0.32,0.02,0,0,0,0,0,0,0,0,0,0
"183",0,0,0.01,0.4,0.06,0,0,0,0,0,0,0,0
"184",0.69,0.04,0.01,0,0.01,0,0.03,0,0,0.01,0,0,0
"185",0.41,0,0,0.08,0.01,0,0,0,0,0,0,0,0
"186",0.41,0.8,0.04,0.01,0,0,0,0,0,0,0,0,0
"187",0.96,0,0.36,0,0,0.02,0,0,0,0,0,0,0.02
"188",0.54,0,0,0.01,0.01,0.12,0,0,0,0,0,0,0
"189",0.42,0.38,0.05,0.02,0.02,0,0,0,0,0.01,0,0,0
"190",0.19,0.01,0.02,0.27,0.01,0.08,0,0,0,0,0,0,0
"191",0.5,0.09,0,0,0,0,0,0,0,0,0.02,0,0
"192",0.47,0.13,0.35,0,0.02,0,0,0,0,0,0,0,0
"193",0.8,0,0.01,0,0,0,0,0,0,0,0,0,0
"194",0,0.22,0,0.01,0,0,0,0,0,0,0,0,0
"195",0.39,0,0,0,0,0,0,0,0,0,0,0,0
"196",0.01,0,0.01,0.01,0,0,0,0,0.04,0,0,0,0
"197",0.76,0.25,0,0.11,0,0,0,0.03,0,0,0,0,0
"198",0.1,0.29,0,0,0,0.03,0.02,0,0,0,0,0,0
"199",0.58,0,0.01,0,0,0.15,0,0,0,0,0,0,0
"200",0,0,0.09,0.04,0,0,0,0,0,0,0,0,0
