"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13"
"1" 1 0.86 0.145 0.17 0 0 0 0 0 0 0 0 0
"2" 1 0.845 0.01 0.01 0 0 0 0 0 0 0 0 0
"3" 1 1 0.09 0 0 0 0 0 0 0 0 0 0
"4" 1 0.05 0.4 0 0 0 0 0 0 0 0 0 0
"5" 1 0.165 0.57 0.005 0 0 0 0 0 0 0 0 0
"6" 0.995 0.615 0 0.2 0 0 0 0 0 0 0 0 0
"7" 1 1 0.705 0 0 0 0 0 0 0 0 0 0
"8" 0.595 0.965 0.005 0.075 0 0 0 0 0 0 0 0 0
"9" 0 0.99 0.18 0.015 0 0 0 0 0 0 0 0 0
"10" 0.995 0 0.385 0 0 0 0 0 0 0 0 0 0
"11" 0.99 0.995 0.175 0.02 0 0 0 0 0 0 0 0 0
"12" 1 0.22 0.34 0.005 0 0 0 0 0 0 0 0 0
"13" 1 1 0.765 0 0 0 0 0 0 0 0 0 0
"14" 1 0.96 0.58 0.13 0 0 0 0 0 0 0 0 0
"15" 1 0.995 0.1 0 0 0 0 0 0 0 0 0 0
"16" 1 1 0.295 0.01 0 0 0 0 0 0 0 0 0
"17" 1 1 0.275 0 0 0 0 0 0 0 0 0 0
"18" 1 1 0.115 0 0 0 0 0 0 0 0 0 0
"19" 1 1 0.14 0.04 0 0 0 0 0 0 0 0 0
"20" 1 0.995 0.34 0.005 0 0 0 0 0 0 0 0 0
"21" 1 0.995 0.02 0.03 0 0 0 0 0 0 0 0 0
"22" 0.91 0.995 0.035 0 0 0 0 0 0 0 0 0 0
"23" 1 1 0.75 0.04 0 0 0 0 0 0 0 0 0
"24" 1 1 0.015 0 0 0 0 0 0 0 0 0 0
"25" 1 0.98 0.44 0.01 0 0 0 0 0 0 0 0 0
"26" 1 1 0.79 0.01 0 0 0 0 0 0 0 0 0
"27" 0.065 0.965 0.105 0.005 0 0 0 0 0 0 0 0 0
"28" 1 0.935 0.41 0.025 0.005 0 0 0 0 0 0 0 0
"29" 0.095 0.075 0.145 0 0 0 0 0 0 0 0 0 0
"30" 1 0.805 0.275 0.03 0 0 0 0 0 0 0 0 0
